date,median_house,sp500,consumer_sentiment,purchase_power,industrial,gdp,debt_held_fed
1/1/00,165300,142.1478487,107.1,58.4,92.4733,12935.252,501.7
4/1/00,163200,144.9587445,106.4,58,93.3908,13170.749,504.9
7/1/00,168800,147.7976676,106.8,57.6,93.3533,13183.89,511.4
10/1/00,172900,136.6991579,98.4,57.5,92.7388,13262.25,511.7
1/1/01,169800,127.8595651,91.5,56.7,91.3567,13219.251,523.9
4/1/01,179000,123.618149,92.6,56.2,90.0322,13301.394,535.1
7/1/01,172500,114.6359414,81.8,56.1,88.9262,13248.142,534.1
10/1/01,171100,112.0993393,88.8,56.6,88.0897,13284.881,551.7
1/1/02,188700,113.5118062,95.7,55.9,89.3624,13394.91,575.4
4/1/02,187200,107.2360759,92.4,55.6,90.9078,13477.356,590.7
7/1/02,178100,89.79927239,86.1,55.3,90.8931,13531.741,604.2
10/1/02,190100,89.2474524,86.7,55.3,90.6374,13549.421,629.4
1/1/03,186000,86.41781906,77.6,54.3,91.221,13619.434,641.5
4/1/03,191800,94.18095277,89.7,54.4,90.7372,13741.107,652.1
7/1/03,191900,100.478586,87.7,54,91.6355,13970.157,656.1
10/1/03,198800,106.1149402,92.6,54.3,92.4019,14131.379,666.7
1/1/04,212700,113.7167257,95.8,53.4,92.7403,14212.34,674.1
4/1/04,217600,112.733777,95.6,52.7,93.0677,14323.017,687.4
7/1/04,213500,110.8979149,94.2,52.7,93.9393,14457.832,700.3
10/1/04,228800,116.5136436,97.1,52.5,95.7433,14605.595,717.8
1/1/05,232500,119.2541748,92.6,51.7,96.6725,14767.846,717.3
4/1/05,233700,118.2950581,96,51.4,97.353,14839.707,724.7
7/1/05,236400,122.5952158,76.9,50.3,95.509,14956.291,736.4
10/1/05,243600,123.1722222,91.5,50.8,98.2108,15041.232,744.2
1/1/06,247700,128.3640071,88.9,50,98.5915,15244.088,758.5
4/1/06,246300,128.2557971,84.9,49.3,99.209,15281.525,766.4
7/1/06,235600,128.9921886,85.4,49.3,99.4133,15304.517,768.9
10/1/06,245400,139.0818357,91.7,49.6,100.2526,15433.643,778.9
1/1/07,257400,142.5564888,88.4,48.7,101.0257,15478.956,780.9
4/1/07,242200,149.7182852,85.3,48,101.8424,15577.779,790.5
7/1/07,241800,149.1726698,83.4,48,102.2023,15671.605,779.6
10/1/07,238400,149.4832999,75.5,47.6,102.4621,15767.146,740.6
1/1/08,233900,135.0737462,69.5,46.8,101.5904,15702.906,591.2
4/1/08,235300,137.2413425,56.4,45.7,100.0853,15792.773,478.8
7/1/08,226500,125.3091917,70.3,45.7,93.8451,15709.562,476.6
10/1/08,222500,91.13337942,60.1,47.6,90.825,15366.607,475.9
1/1/09,208400,81.0929803,57.3,47,86.6045,15187.475,492.3
4/1/09,220900,89.41657797,70.8,46.4,84.7841,15161.772,656.5
7/1/09,214300,99.8365654,73.5,46.3,87.4072,15216.647,769.2
